Timestamp,Milliseconds,Illuminance
2019-10-27 16:06:15,1,25.0
2019-10-27 16:06:16,1001,21.0
2019-10-27 16:06:17,2001,40.0
2019-10-27 16:06:18,3002,43.0
2019-10-27 16:06:19,4001,44.0
2019-10-27 16:06:20,5001,44.0
2019-10-27 16:06:21,6001,44.0
2019-10-27 16:06:22,7001,44.0
2019-10-27 16:06:23,8002,14.0
2019-10-27 16:06:24,9001,10.0
2019-10-27 16:06:25,10002,15.0
2019-10-27 16:06:26,11001,14.0
2019-10-27 16:06:27,12001,14.0
2019-10-27 16:06:28,13001,15.0
2019-10-27 16:06:29,14001,15.0
2019-10-27 16:06:30,15001,15.0
2019-10-27 16:06:31,16001,15.0
2019-10-27 16:06:32,17001,15.0
2019-10-27 16:06:33,18002,15.0
2019-10-27 16:06:34,19001,15.0
2019-10-27 16:06:35,20001,15.0
2019-10-27 16:06:36,21001,15.0
2019-10-27 16:06:37,22001,15.0
2019-10-27 16:06:38,23001,15.0
2019-10-27 16:06:39,24002,15.0
2019-10-27 16:06:40,25001,15.0
2019-10-27 16:06:41,26001,15.0
2019-10-27 16:06:42,27001,16.0
2019-10-27 16:06:43,28002,16.0
2019-10-27 16:06:44,29001,16.0
2019-10-27 16:06:45,30001,16.0
2019-10-27 16:06:46,31001,17.0
2019-10-27 16:06:47,32001,16.0
2019-10-27 16:06:48,33001,17.0
2019-10-27 16:06:49,34002,17.0
2019-10-27 16:06:50,35001,18.0
2019-10-27 16:06:51,36003,19.0
2019-10-27 16:06:52,37001,19.0
2019-10-27 16:06:53,38001,18.0
2019-10-27 16:06:54,39001,18.0
2019-10-27 16:06:55,40002,17.0
2019-10-27 16:06:56,41002,18.0
2019-10-27 16:06:57,42001,17.0
2019-10-27 16:06:58,43001,18.0
2019-10-27 16:06:59,44001,18.0
2019-10-27 16:07:00,45002,18.0
2019-10-27 16:07:01,46001,19.0
2019-10-27 16:07:02,47001,18.0
2019-10-27 16:07:03,48002,19.0
2019-10-27 16:07:04,49001,19.0
2019-10-27 16:07:05,50001,19.0
2019-10-27 16:07:06,51002,19.0
2019-10-27 16:07:07,52001,18.0
2019-10-27 16:07:08,53001,19.0
2019-10-27 16:07:09,54002,18.0
2019-10-27 16:07:10,55001,18.0
2019-10-27 16:07:11,56001,18.0
2019-10-27 16:07:12,57002,18.0
2019-10-27 16:07:13,58001,18.0
2019-10-27 16:07:14,59001,18.0
2019-10-27 16:07:15,60001,19.0
2019-10-27 16:07:16,61002,18.0
2019-10-27 16:07:17,62001,18.0
2019-10-27 16:07:18,63001,18.0
2019-10-27 16:07:19,64001,18.0
2019-10-27 16:07:20,65002,18.0
2019-10-27 16:07:21,66001,18.0
2019-10-27 16:07:22,67001,18.0
2019-10-27 16:07:23,68001,19.0
2019-10-27 16:07:24,69002,18.0
2019-10-27 16:07:25,70001,18.0
2019-10-27 16:07:26,71002,19.0
2019-10-27 16:07:27,72002,19.0
2019-10-27 16:07:28,73001,19.0
2019-10-27 16:07:29,74001,19.0
2019-10-27 16:07:30,75002,18.0
2019-10-27 16:07:31,76001,18.0
2019-10-27 16:07:32,77001,18.0
2019-10-27 16:07:33,78001,18.0
2019-10-27 16:07:34,79002,18.0
2019-10-27 16:07:35,80001,18.0
2019-10-27 16:07:36,81002,18.0
2019-10-27 16:07:37,82003,18.0
2019-10-27 16:07:38,83001,18.0
2019-10-27 16:07:39,84001,18.0
2019-10-27 16:07:40,85001,18.0
2019-10-27 16:07:41,86002,18.0
2019-10-27 16:07:42,87001,18.0
2019-10-27 16:07:43,88001,18.0
2019-10-27 16:07:44,89002,18.0
2019-10-27 16:07:45,90001,18.0
2019-10-27 16:07:46,91001,18.0
2019-10-27 16:07:47,92001,18.0
2019-10-27 16:07:48,93002,19.0
2019-10-27 16:07:49,94001,19.0
2019-10-27 16:07:50,95001,19.0
2019-10-27 16:07:51,96001,19.0
2019-10-27 16:07:52,97002,18.0
2019-10-27 16:07:53,98001,18.0
2019-10-27 16:07:54,99001,19.0
2019-10-27 16:07:55,100001,19.0
2019-10-27 16:07:56,101002,19.0
2019-10-27 16:07:57,102002,19.0
2019-10-27 16:07:58,103001,19.0
2019-10-27 16:07:59,104001,19.0
2019-10-27 16:08:00,105001,19.0
2019-10-27 16:08:01,106002,19.0
2019-10-27 16:08:02,107001,18.0
2019-10-27 16:08:03,108001,18.0
2019-10-27 16:08:04,109001,18.0
2019-10-27 16:08:05,110001,18.0
2019-10-27 16:08:06,111002,18.0
2019-10-27 16:08:07,112001,18.0
2019-10-27 16:08:08,113001,18.0
2019-10-27 16:08:09,114002,18.0
2019-10-27 16:08:10,115001,18.0
2019-10-27 16:08:11,116001,18.0
2019-10-27 16:08:12,117002,17.0
2019-10-27 16:08:13,118001,18.0
2019-10-27 16:08:14,119001,18.0
2019-10-27 16:08:15,120001,18.0
2019-10-27 16:08:16,121001,18.0
2019-10-27 16:08:17,122002,18.0
2019-10-27 16:08:18,123001,18.0
2019-10-27 16:08:19,124001,18.0
2019-10-27 16:08:20,125002,18.0
2019-10-27 16:08:21,126001,17.0
2019-10-27 16:08:22,127002,17.0
2019-10-27 16:08:23,128001,17.0
2019-10-27 16:08:24,129001,17.0
2019-10-27 16:08:25,130001,16.0
2019-10-27 16:08:26,131002,17.0
2019-10-27 16:08:27,132001,16.0
2019-10-27 16:08:28,133002,17.0
2019-10-27 16:08:29,134001,16.0
2019-10-27 16:08:30,135002,16.0
2019-10-27 16:08:31,136001,17.0
2019-10-27 16:08:32,137001,17.0
2019-10-27 16:08:33,138002,17.0
2019-10-27 16:08:34,139001,17.0
2019-10-27 16:08:35,140001,17.0
2019-10-27 16:08:36,141002,17.0
2019-10-27 16:08:37,142001,17.0
2019-10-27 16:08:38,143001,17.0
2019-10-27 16:08:39,144002,17.0
2019-10-27 16:08:40,145001,17.0
2019-10-27 16:08:41,146001,17.0
2019-10-27 16:08:42,147002,16.0
2019-10-27 16:08:43,148001,17.0
2019-10-27 16:08:44,149001,16.0
2019-10-27 16:08:45,150002,16.0
2019-10-27 16:08:46,151001,15.0
2019-10-27 16:08:47,152001,15.0
2019-10-27 16:08:48,153002,15.0
2019-10-27 16:08:49,154002,14.0
2019-10-27 16:08:50,155001,14.0
2019-10-27 16:08:51,156001,14.0
2019-10-27 16:08:52,157002,14.0
2019-10-27 16:08:53,158001,14.0
2019-10-27 16:08:54,159002,15.0
2019-10-27 16:08:55,160001,15.0
2019-10-27 16:08:56,161001,14.0
2019-10-27 16:08:57,162001,14.0
2019-10-27 16:08:58,163002,14.0
2019-10-27 16:08:59,164001,14.0
2019-10-27 16:09:00,165001,14.0
2019-10-27 16:09:01,166002,14.0
2019-10-27 16:09:02,167001,15.0
2019-10-27 16:09:03,168001,14.0
2019-10-27 16:09:04,169002,14.0
2019-10-27 16:09:05,170001,14.0
2019-10-27 16:09:06,171002,14.0
2019-10-27 16:09:07,172001,14.0
2019-10-27 16:09:08,173002,14.0
2019-10-27 16:09:09,174001,14.0
2019-10-27 16:09:10,175001,14.0
2019-10-27 16:09:11,176002,14.0
2019-10-27 16:09:12,177001,14.0
2019-10-27 16:09:13,178001,14.0
2019-10-27 16:09:14,179001,14.0
2019-10-27 16:09:15,180002,14.0
2019-10-27 16:09:16,181001,15.0
2019-10-27 16:09:17,182002,15.0
2019-10-27 16:09:18,183001,15.0
2019-10-27 16:09:19,184002,15.0
2019-10-27 16:09:20,185002,16.0
2019-10-27 16:09:21,186001,16.0
2019-10-27 16:09:22,187001,16.0
2019-10-27 16:09:23,188002,16.0
2019-10-27 16:09:24,189001,17.0
2019-10-27 16:09:25,190002,16.0
2019-10-27 16:09:26,191001,17.0
2019-10-27 16:09:27,192001,17.0
2019-10-27 16:09:28,193001,17.0
2019-10-27 16:09:29,194001,17.0
2019-10-27 16:09:30,195002,17.0
2019-10-27 16:09:31,196001,17.0
2019-10-27 16:09:32,197001,17.0
2019-10-27 16:09:33,198001,17.0
2019-10-27 16:09:34,199002,17.0
2019-10-27 16:09:35,200002,17.0
2019-10-27 16:09:36,201001,17.0
