Timestamp,Milliseconds,centimeters
2019-10-27 21:42:51,1,8.0
2019-10-27 21:42:52,1001,8.0
2019-10-27 21:42:53,2002,8.0
2019-10-27 21:42:54,3001,8.0
2019-10-27 21:42:55,4001,8.0
2019-10-27 21:42:56,5002,8.0
2019-10-27 21:42:57,6001,8.0
2019-10-27 21:42:58,7001,8.0
2019-10-27 21:42:59,8002,8.0
2019-10-27 21:43:00,9001,8.0
2019-10-27 21:43:01,10001,8.0
2019-10-27 21:43:02,11002,8.0
2019-10-27 21:43:03,12002,8.0
2019-10-27 21:43:04,13002,8.0
2019-10-27 21:43:05,14001,8.0
2019-10-27 21:43:06,15001,8.0
2019-10-27 21:43:07,16002,8.0
2019-10-27 21:43:08,17002,8.0
2019-10-27 21:43:09,18001,8.0
2019-10-27 21:43:10,19001,8.0
2019-10-27 21:43:11,20002,8.0
2019-10-27 21:43:12,21001,8.0
2019-10-27 21:43:13,22001,8.0
2019-10-27 21:43:14,23002,8.0
2019-10-27 21:43:15,24001,8.0
2019-10-27 21:43:16,25002,8.0
2019-10-27 21:43:17,26001,8.0
2019-10-27 21:43:18,27001,8.0
2019-10-27 21:43:19,28002,8.0
2019-10-27 21:43:20,29001,8.0
2019-10-27 21:43:21,30002,8.0
2019-10-27 21:43:22,31001,8.0
2019-10-27 21:43:23,32001,8.0
2019-10-27 21:43:24,33001,8.0
2019-10-27 21:43:25,34002,8.0
2019-10-27 21:43:26,35001,8.0
2019-10-27 21:43:27,36001,8.0
2019-10-27 21:43:28,37002,8.0
2019-10-27 21:43:29,38004,8.0
2019-10-27 21:43:30,39001,8.0
2019-10-27 21:43:31,40001,8.0
2019-10-27 21:43:32,41002,8.0
2019-10-27 21:43:33,42001,8.0
2019-10-27 21:43:34,43001,8.0
2019-10-27 21:43:35,44002,8.0
2019-10-27 21:43:36,45001,8.0
2019-10-27 21:43:37,46001,8.0
2019-10-27 21:43:38,47001,8.0
2019-10-27 21:43:39,48002,8.0
2019-10-27 21:43:40,49001,8.0
2019-10-27 21:43:41,50001,8.0
2019-10-27 21:43:42,51001,8.0
2019-10-27 21:43:43,52002,8.0
2019-10-27 21:43:44,53001,8.0
2019-10-27 21:43:45,54001,8.0
2019-10-27 21:43:46,55002,8.0
2019-10-27 21:43:47,56001,8.0
2019-10-27 21:43:48,57002,8.0
2019-10-27 21:43:49,58001,8.0
2019-10-27 21:43:50,59001,8.0
2019-10-27 21:43:51,60001,8.0
2019-10-27 21:43:52,61001,8.0
2019-10-27 21:43:53,62001,8.0
2019-10-27 21:43:54,63002,8.0
2019-10-27 21:43:55,64001,8.0
2019-10-27 21:43:56,65002,8.0
2019-10-27 21:43:57,66001,8.0
2019-10-27 21:43:58,67001,8.0
2019-10-27 21:43:59,68002,8.0
2019-10-27 21:44:00,69001,8.0
2019-10-27 21:44:01,70001,8.0
2019-10-27 21:44:02,71001,8.0
2019-10-27 21:44:03,72001,8.0
2019-10-27 21:44:04,73002,8.0
