Timestamp,Milliseconds,Illuminance
2019-10-26 22:35:35,2,0.0
2019-10-26 22:35:36,1002,23.0
2019-10-26 22:35:37,2001,43.0
2019-10-26 22:35:38,3001,36.0
2019-10-26 22:35:39,4001,32.0
2019-10-26 22:35:40,5002,29.0
2019-10-26 22:35:41,6001,28.0
2019-10-26 22:35:42,7001,17.0
2019-10-26 22:35:43,8001,29.0
2019-10-26 22:35:44,9002,29.0
2019-10-26 22:35:45,10001,29.0
2019-10-26 22:35:46,11001,29.0
2019-10-26 22:35:47,12001,29.0
2019-10-26 22:35:48,13001,29.0
2019-10-26 22:35:49,14002,29.0
2019-10-26 22:35:50,15001,29.0
2019-10-26 22:35:51,16001,29.0
2019-10-26 22:35:52,17001,29.0
2019-10-26 22:35:53,18001,29.0
2019-10-26 22:35:54,19001,29.0
2019-10-26 22:35:55,20002,29.0
2019-10-26 22:35:56,21001,29.0
2019-10-26 22:35:57,22001,29.0
2019-10-26 22:35:58,23002,29.0
2019-10-26 22:35:59,24001,29.0
2019-10-26 22:36:00,25001,29.0
2019-10-26 22:36:01,26002,29.0
2019-10-26 22:36:02,27001,29.0
2019-10-26 22:36:03,28001,29.0
2019-10-26 22:36:04,29001,29.0
2019-10-26 22:36:05,30002,29.0
2019-10-26 22:36:06,31001,29.0
2019-10-26 22:36:07,32001,29.0
2019-10-26 22:36:08,33001,29.0
2019-10-26 22:36:09,34002,29.0
2019-10-26 22:36:10,35001,29.0
2019-10-26 22:36:11,36001,30.0
2019-10-26 22:36:12,37001,29.0
2019-10-26 22:36:13,38002,29.0
2019-10-26 22:36:14,39001,29.0
2019-10-26 22:36:15,40001,29.0
2019-10-26 22:36:16,41002,29.0
2019-10-26 22:36:17,42001,23.0
2019-10-26 22:36:18,43002,2.0
2019-10-26 22:36:19,44001,14.0
2019-10-26 22:36:20,45001,22.0
2019-10-26 22:36:21,46001,29.0
2019-10-26 22:36:22,47001,29.0
2019-10-26 22:36:23,48002,29.0
2019-10-26 22:36:24,49001,29.0
2019-10-26 22:36:25,50001,29.0
2019-10-26 22:36:26,51001,29.0
2019-10-26 22:36:27,52001,29.0
2019-10-26 22:36:28,53002,29.0
2019-10-26 22:36:29,54001,16.0
2019-10-26 22:36:30,55001,16.0
2019-10-26 22:36:31,56002,16.0
2019-10-26 22:36:32,57001,15.0
2019-10-26 22:36:33,58002,15.0
2019-10-26 22:36:34,59001,15.0
2019-10-26 22:36:35,60001,17.0
2019-10-26 22:36:36,61001,16.0
2019-10-26 22:36:37,62002,16.0
2019-10-26 22:36:38,63001,16.0
2019-10-26 22:36:39,64001,16.0
2019-10-26 22:36:40,65002,20.0
